2015;Flood;46;;2015 Texas–Oklahoma floods;Texas, Kansas, Oklahoma;
2015;Flood;25;Billions;October 2015 North American Storm Complex;Carolinas;
2015;Flood;20;;2015 Utah floods;Utah;
2015;Wild fire;3;;Okanogan Complex fire;Okanogan County, Washington;
2014;Mudflow;43;;2014 Oso mudslide;Oso, Washington;
2014;Tornado;35;$1 billion;April 2014 tornado outbreak;Nebraska, Louisiana,Oklahoma, Illinois, Florida,North Carolina;
2014;Snow storm;24;;November 2014 North American winter storm;Buffalo, New York, Great Lakes region;
2014;Wildfire;19;;Yarnell Hill Fire;Yarnell, Arizona;
2013;Tornado;24;$2 billion;2013 Moore tornado;Moore, Oklahoma;
2013-2014;Cold wave;21;;2013–14 North American cold wave;Eastern US;
2013;Blizzard;18;;February 2013 nor'easter;Eastern US;
2012;Hurricane;147;$75 billion;Hurricane Sandy;Eastern US;
2011;Tornado;346;~$11,000,000,000;2011 Super Outbreak;Alabama, Tennessee,Mississippi, Georgia, Arkansasand Virginia;336 tornadoes
;;;-2011;;;
2011;Tornado;160;$69,000;2011 Joplin tornado;Joplin, Missouri;part of the May 21–26, 2011 tornado outbreak sequence
;;;– $3,000,000,000;;;
;;;-2011;;;
2011;Flood;20;$2 to 4 billion[1][2];2011 Mississippi River floods;Mississippi River Valley;
2010;Flood;20;;June 2010 Arkansas floods;Albert Pike Recreational Area(near Langley, Arkansas);
2009;Tsunami;31;;2009 Samoa earthquake and tsunami;American Samoa and nearby islands;189 total deaths, with 31 in American Samoa.
2008;Tornado;59;;2008 Super Tuesday tornado outbreak;Tennessee, Arkansas,Kentucky, Alabama, and Illinois;
2007;Fire;14;;California wildfires of October 2007;California;"Large fires burnt out of control across southern California, fueled by unusually strong Santa Ana Winds; worst around San Diego; caused evacuation of over one million people. Most fires accidental; some suspected arson."
2006;Snow storm;19;$530,000,000;"Lake Storm ""Aphid""";Buffalo, New York;
;;;-2006;;;
2005;Cyclone;1,836;$84,000,000,000;Hurricane Katrina;Florida, Louisiana, Mississippi,Alabama;
;;;-2006;;;
2005;Cyclone;120;$10,000,000,000;Hurricane Rita;Louisiana, Texas;
;;;-2005;;;
2005;Tornado;25;$92,000,000;Evansville Tornado of November 2005;Missouri, Indiana, Kentucky,Ohio;7 tornadoes
2004;Cyclone;124;$19,000,000,000;Hurricane Ivan;Texas, Florida, East Coast;
;;;-2005;;;
2004;Cyclone;49;$9,000,000,000;Hurricane Frances;Florida;
2004;Cyclone;10;$15,000,000,000;Hurricane Charley;Florida;
2001;Cyclone;41;$5,500,000,000;Tropical Storm Allison;Texas, Louisiana,Pennsylvania;
1999;Heat wave;271;;;Midwest and Northeast;
1999;Tornado;48;$1,500,000,000;1999 Oklahoma tornado outbreak;Oklahoma, Kansas, Texas,Tennessee;66 tornadoes
;;;-2005;;;
1998;Blizzard;30;;North American ice storm of 1998;Canada and Northeast;
1998–1999;Landslide;0;$70,000,000;Aldercrest-Banyon landslide;Kelso, Washington;
1997;Flood;0;$2,000,000,000;1997 Red River Flood;North Dakota, Minnesota, Southern Manitoba;
1996;Flood;8;$500,000,000;Willamette Valley Flood of 1996;Washington, Oregon, Idaho, California;
1995;Heat wave;739;;Chicago Heat Wave of 1995;Chicago, Illinois;
1995;Flood;6;$1,360,000,000;May 8, 1995 Louisiana Flood;New Orleans, Louisiana area;
1994;Earthquake;57;$23,000,000,000;Northridge earthquake;Greater Los Angeles area;
1993;Blizzard;79–300;$6,600,000,00;Storm of the Century;East Coast of North and Central America;
1993;Flood;50;$15,000,000,000;Great Flood of 1993;Midwest;
1992;Cyclone;26;$25,000,000,000;Hurricane Andrew;Florida and Louisiana;
1991;Fire;25;$1,500,000,000;Oakland Hills Fire;San Francisco Bay Area, California;
1990;Tornado;29;$160,000,000;1990 Plainfield tornado;Plainfield, Illinois Crest Hill, Illinois;
